nummer;name;15;25;35;45;55
891000;Rauschgiftkriminalit‰t und direkte Beschaffungskriminalit‰t;23217;28351;14298;4965;1332
892000;Gewaltkriminalit‰t;22677;16459;10471;6196;3026
893000;Wirtschaftskriminalit‰t;439;2033;3636;4040;2878
896000;Straftaten gegen Bestimmungen zum Schutz der Jugend;181;62;75;62;33
897000;Computerkriminalit‰t;1321;1922;1499;946;460
899000;Straﬂenkriminalit‰t;35006;18732;10103;5527;2777
